lit_comb_sle_yago_data_model
Epoch 5 :  test_rel rank 2.369473894778956
Epoch 10 :  test_rel rank 2.273254650930186
Epoch 15 :  test_rel rank 2.185637127425485
Epoch 20 :  test_rel rank 2.2012402480496096
Epoch 25 :  test_rel rank 2.341468293658732
Epoch 30 :  test_rel rank 2.4130826165233046
Epoch 35 :  test_rel rank 2.4212842568513704
Epoch 40 :  test_rel rank 2.431486297259452
Epoch 45 :  test_rel rank 2.4382876575315064
Epoch 50 :  test_rel rank 2.4082816563312663
Epoch 55 :  test_rel rank 2.3922784556911383
Epoch 60 :  test_rel rank 2.3580716143228644
Epoch 65 :  test_rel rank 2.3320664132826563
Epoch 70 :  test_rel rank 2.3096619323864775
Epoch 75 :  test_rel rank 2.2800560112022406
Epoch 80 :  test_rel rank 2.2650530106021205
Epoch 85 :  test_rel rank 2.2440488097619524
Epoch 90 :  test_rel rank 2.231846369273855
Epoch 95 :  test_rel rank 2.2230446089217843
Epoch 100 :  test_rel rank 2.2052410482096416
Epoch 105 :  test_rel rank 2.181036207241448
Epoch 110 :  test_rel rank 2.157831566313263
Epoch 115 :  test_rel rank 2.138227645529106
Epoch 120 :  test_rel rank 2.118623724744949
Epoch 125 :  test_rel rank 2.1040208041608324
Epoch 130 :  test_rel rank 2.0884176835367074
Epoch 135 :  test_rel rank 2.0778155631126225
Epoch 140 :  test_rel rank 2.0626125225045007
Epoch 145 :  test_rel rank 2.0538107621524304
Epoch 150 :  test_rel rank 2.0506101220244046
Epoch 155 :  test_rel rank 2.042208441688338
Epoch 160 :  test_rel rank 2.0344068813762752
Epoch 165 :  test_rel rank 2.0306061212242446
Epoch 170 :  test_rel rank 2.027205441088218
Epoch 175 :  test_rel rank 2.0206041208241645
Epoch 180 :  test_rel rank 2.0168033606721343
Epoch 185 :  test_rel rank 2.014402880576115
Epoch 190 :  test_rel rank 2.014202840568114
Epoch 195 :  test_rel rank 2.013202640528106
Epoch 200 :  test_rel rank 2.015203040608122
Epoch 205 :  test_rel rank 2.0128025605121023
Epoch 210 :  test_rel rank 2.011402280456091
Epoch 215 :  test_rel rank 2.009201840368074
Epoch 220 :  test_rel rank 2.00620124024805
Epoch 225 :  test_rel rank 2.0018003600720142
Epoch 230 :  test_rel rank 2.002400480096019
Epoch 235 :  test_rel rank 1.9995999199839969
Epoch 240 :  test_rel rank 1.9967993598719744
Epoch 245 :  test_rel rank 1.9961992398479695
Epoch 250 :  test_rel rank 1.995999199839968
Epoch 255 :  test_rel rank 1.993998799759952
Epoch 260 :  test_rel rank 1.9945989197839569
Epoch 265 :  test_rel rank 1.992998599719944
Epoch 270 :  test_rel rank 1.9887977595519104
Epoch 275 :  test_rel rank 1.986397279455891
Epoch 280 :  test_rel rank 1.98499699939988
Epoch 285 :  test_rel rank 1.9865973194638928
Epoch 290 :  test_rel rank 1.9831966393278657
Epoch 295 :  test_rel rank 1.9845969193838768
Epoch 300 :  test_rel rank 1.9841968393678737
Epoch 305 :  test_rel rank 1.9831966393278657
Epoch 310 :  test_rel rank 1.9827965593118624
Epoch 315 :  test_rel rank 1.983396679335867
Epoch 320 :  test_rel rank 1.983996799359872
Epoch 325 :  test_rel rank 1.984396879375875
Epoch 330 :  test_rel rank 1.9817963592718544
Epoch 335 :  test_rel rank 1.9865973194638928
