yago_data_neg_sample_5_mar_10_l2_0.00_model
Epoch 5 :  test_rel rank 2.40811339198436
Epoch 10 :  test_rel rank 1.944770283479961
Epoch 15 :  test_rel rank 1.6544477028347995
Epoch 20 :  test_rel rank 1.5004887585532747
Epoch 25 :  test_rel rank 1.4535679374389052
Epoch 30 :  test_rel rank 1.3934506353861194
Epoch 35 :  test_rel rank 1.3147605083088953
Epoch 40 :  test_rel rank 1.3147605083088953
Epoch 45 :  test_rel rank 1.316715542521994
Epoch 50 :  test_rel rank 1.313782991202346
Epoch 55 :  test_rel rank 1.3128054740957966
Epoch 60 :  test_rel rank 1.3162267839687194
Epoch 65 :  test_rel rank 1.3162267839687194
Epoch 70 :  test_rel rank 1.3201368523949168
Epoch 75 :  test_rel rank 1.3220918866080156
Epoch 80 :  test_rel rank 1.3250244379276637
Epoch 85 :  test_rel rank 1.3299120234604105
Epoch 90 :  test_rel rank 1.3318670576735092
Epoch 95 :  test_rel rank 1.3362658846529814
Epoch 100 :  test_rel rank 1.343108504398827
Epoch 105 :  test_rel rank 1.3514173998044967
Epoch 110 :  test_rel rank 1.3607038123167157
Epoch 115 :  test_rel rank 1.3699902248289346
Epoch 120 :  test_rel rank 1.3763440860215055
Epoch 125 :  test_rel rank 1.380254154447703
Epoch 130 :  test_rel rank 1.3861192570869991
Epoch 135 :  test_rel rank 1.3958944281524928
Epoch 140 :  test_rel rank 1.401759530791789
Epoch 145 :  test_rel rank 1.4090909090909092
Epoch 150 :  test_rel rank 1.4193548387096775
Epoch 155 :  test_rel rank 1.423264907135875
Epoch 160 :  test_rel rank 1.4301075268817205
Epoch 165 :  test_rel rank 1.434017595307918
Epoch 170 :  test_rel rank 1.4393939393939394
Epoch 175 :  test_rel rank 1.4442815249266863
Epoch 180 :  test_rel rank 1.4496578690127078
Epoch 185 :  test_rel rank 1.4550342130987293
Epoch 190 :  test_rel rank 1.4618768328445748
Epoch 195 :  test_rel rank 1.4687194525904204
Epoch 200 :  test_rel rank 1.4750733137829912
Epoch 205 :  test_rel rank 1.4794721407624634
Epoch 210 :  test_rel rank 1.4833822091886608
Epoch 215 :  test_rel rank 1.487781036168133
Epoch 220 :  test_rel rank 1.490713587487781
Epoch 225 :  test_rel rank 1.4916911045943304
Epoch 230 :  test_rel rank 1.4936461388074291
Epoch 235 :  test_rel rank 1.5009775171065494
Epoch 240 :  test_rel rank 1.5043988269794721
Epoch 245 :  test_rel rank 1.5053763440860215
Epoch 250 :  test_rel rank 1.507820136852395
Epoch 255 :  test_rel rank 1.5127077223851417
Epoch 260 :  test_rel rank 1.5141739980449658
Epoch 265 :  test_rel rank 1.5175953079178885
Epoch 270 :  test_rel rank 1.5161290322580645
Epoch 275 :  test_rel rank 1.5171065493646139
Epoch 280 :  test_rel rank 1.5205278592375366
Epoch 285 :  test_rel rank 1.5224828934506354
Epoch 290 :  test_rel rank 1.5249266862170088
Epoch 295 :  test_rel rank 1.5249266862170088
Epoch 300 :  test_rel rank 1.5268817204301075
Epoch 305 :  test_rel rank 1.5298142717497556
Epoch 310 :  test_rel rank 1.5303030303030303
Epoch 315 :  test_rel rank 1.5317693059628543
Epoch 320 :  test_rel rank 1.532258064516129
Epoch 325 :  test_rel rank 1.5356793743890518
Epoch 330 :  test_rel rank 1.535190615835777
Epoch 335 :  test_rel rank 1.5376344086021505
Epoch 340 :  test_rel rank 1.5395894428152492
Epoch 345 :  test_rel rank 1.5391006842619745
Epoch 350 :  test_rel rank 1.5386119257086999
Epoch 355 :  test_rel rank 1.5395894428152492
Epoch 360 :  test_rel rank 1.5425219941348973
Epoch 365 :  test_rel rank 1.5434995112414467
Epoch 370 :  test_rel rank 1.5439882697947214
Epoch 375 :  test_rel rank 1.544477028347996
Epoch 380 :  test_rel rank 1.54594330400782
Epoch 385 :  test_rel rank 1.5478983382209188
Epoch 390 :  test_rel rank 1.5478983382209188
Epoch 395 :  test_rel rank 1.5493646138807429
Epoch 400 :  test_rel rank 1.5513196480938416
Epoch 405 :  test_rel rank 1.552297165200391
Epoch 410 :  test_rel rank 1.5532746823069403
Epoch 415 :  test_rel rank 1.5532746823069403
Epoch 420 :  test_rel rank 1.5527859237536656
Epoch 425 :  test_rel rank 1.5527859237536656
Epoch 430 :  test_rel rank 1.5542521994134897
Epoch 435 :  test_rel rank 1.5532746823069403
Epoch 440 :  test_rel rank 1.5532746823069403
Epoch 445 :  test_rel rank 1.5542521994134897
Epoch 450 :  test_rel rank 1.5532746823069403
Epoch 455 :  test_rel rank 1.552297165200391
Epoch 460 :  test_rel rank 1.5547409579667644
Epoch 465 :  test_rel rank 1.553763440860215
Epoch 470 :  test_rel rank 1.555229716520039
Epoch 475 :  test_rel rank 1.5557184750733137
Epoch 480 :  test_rel rank 1.553763440860215
Epoch 485 :  test_rel rank 1.5527859237536656
Epoch 490 :  test_rel rank 1.552297165200391
Epoch 495 :  test_rel rank 1.5503421309872922
Epoch 500 :  test_rel rank 1.5503421309872922
Epoch 505 :  test_rel rank 1.550830889540567
Epoch 510 :  test_rel rank 1.5498533724340176
Epoch 515 :  test_rel rank 1.550830889540567
Epoch 520 :  test_rel rank 1.5474095796676441
Epoch 525 :  test_rel rank 1.5439882697947214
Epoch 530 :  test_rel rank 1.5425219941348973
Epoch 535 :  test_rel rank 1.5434995112414467
Epoch 540 :  test_rel rank 1.5434995112414467
Epoch 545 :  test_rel rank 1.544477028347996
Epoch 550 :  test_rel rank 1.543010752688172
Epoch 555 :  test_rel rank 1.543010752688172
Epoch 560 :  test_rel rank 1.541544477028348
Epoch 565 :  test_rel rank 1.5410557184750733
Epoch 570 :  test_rel rank 1.5410557184750733
Epoch 575 :  test_rel rank 1.5405669599217986
Epoch 580 :  test_rel rank 1.5386119257086999
Epoch 585 :  test_rel rank 1.535190615835777
Epoch 590 :  test_rel rank 1.5347018572825024
Epoch 595 :  test_rel rank 1.5327468230694037
Epoch 600 :  test_rel rank 1.530791788856305
Epoch 605 :  test_rel rank 1.5298142717497556
Epoch 610 :  test_rel rank 1.5303030303030303
Epoch 615 :  test_rel rank 1.5249266862170088
Epoch 620 :  test_rel rank 1.5263929618768328
Epoch 625 :  test_rel rank 1.5273704789833822
Epoch 630 :  test_rel rank 1.5249266862170088
Epoch 635 :  test_rel rank 1.524437927663734
Epoch 640 :  test_rel rank 1.5249266862170088
Epoch 645 :  test_rel rank 1.5259042033235581
Epoch 650 :  test_rel rank 1.5234604105571847
Epoch 655 :  test_rel rank 1.52297165200391
Epoch 660 :  test_rel rank 1.524437927663734
Epoch 665 :  test_rel rank 1.5254154447702835
Epoch 670 :  test_rel rank 1.5268817204301075
Epoch 675 :  test_rel rank 1.5249266862170088
Epoch 680 :  test_rel rank 1.5234604105571847
Epoch 685 :  test_rel rank 1.5239491691104594
Epoch 690 :  test_rel rank 1.5219941348973607
Epoch 695 :  test_rel rank 1.5210166177908113
Epoch 700 :  test_rel rank 1.520039100684262
Epoch 705 :  test_rel rank 1.5205278592375366
Epoch 710 :  test_rel rank 1.520039100684262
Epoch 715 :  test_rel rank 1.520039100684262
Epoch 720 :  test_rel rank 1.5171065493646139
Epoch 725 :  test_rel rank 1.5166177908113392
Epoch 730 :  test_rel rank 1.5156402737047898
Epoch 735 :  test_rel rank 1.5156402737047898
Epoch 740 :  test_rel rank 1.5146627565982405
