wiki_data_neg_sample_5_mar_10_l2_0.00_model
Epoch 5 :  test_rel rank 1.9361911800936191
Epoch 10 :  test_rel rank 1.5870904163587092
Epoch 15 :  test_rel rank 1.6114806602611482
Epoch 20 :  test_rel rank 1.5360926336536092
Epoch 25 :  test_rel rank 1.4427198817442721
Epoch 30 :  test_rel rank 1.3821138211382114
Epoch 35 :  test_rel rank 1.3419561468341956
Epoch 40 :  test_rel rank 1.3133776792313379
Epoch 45 :  test_rel rank 1.2953929539295392
Epoch 50 :  test_rel rank 1.2823355506282335
Epoch 55 :  test_rel rank 1.269278147326928
Epoch 60 :  test_rel rank 1.2559743779255974
Epoch 65 :  test_rel rank 1.2448879034244889
Epoch 70 :  test_rel rank 1.2305986696230597
Epoch 75 :  test_rel rank 1.2227149544222715
Epoch 80 :  test_rel rank 1.2180339985218034
Epoch 85 :  test_rel rank 1.21359940872136
Epoch 90 :  test_rel rank 1.2079329884207932
Epoch 95 :  test_rel rank 1.2049765952204976
Epoch 100 :  test_rel rank 1.202759300320276
Epoch 105 :  test_rel rank 1.1973392461197339
Epoch 110 :  test_rel rank 1.19660014781966
Epoch 115 :  test_rel rank 1.195861049519586
Epoch 120 :  test_rel rank 1.193890120719389
Epoch 125 :  test_rel rank 1.1926582902192657
Epoch 130 :  test_rel rank 1.1924119241192412
Epoch 135 :  test_rel rank 1.1914264597191426
Epoch 140 :  test_rel rank 1.1894555309189456
Epoch 145 :  test_rel rank 1.1879773343187978
Epoch 150 :  test_rel rank 1.188470066518847
Epoch 155 :  test_rel rank 1.188470066518847
Epoch 160 :  test_rel rank 1.188470066518847
Epoch 165 :  test_rel rank 1.1889627987188962
Epoch 170 :  test_rel rank 1.1882237004188223
Epoch 175 :  test_rel rank 1.1879773343187978
Epoch 180 :  test_rel rank 1.187730968218773
Epoch 185 :  test_rel rank 1.1882237004188223
Epoch 190 :  test_rel rank 1.1874846021187484
Epoch 195 :  test_rel rank 1.1879773343187978
Epoch 200 :  test_rel rank 1.188470066518847
Epoch 205 :  test_rel rank 1.187238236018724
Epoch 210 :  test_rel rank 1.1862527716186253
Epoch 215 :  test_rel rank 1.1847745750184775
Epoch 220 :  test_rel rank 1.1847745750184775
Epoch 225 :  test_rel rank 1.1847745750184775
Epoch 230 :  test_rel rank 1.1847745750184775
Epoch 235 :  test_rel rank 1.1835427445183542
Epoch 240 :  test_rel rank 1.1832963784183297
Epoch 245 :  test_rel rank 1.1832963784183297
Epoch 250 :  test_rel rank 1.1837891106183789
Epoch 255 :  test_rel rank 1.1835427445183542
Epoch 260 :  test_rel rank 1.1818181818181819
Epoch 265 :  test_rel rank 1.1818181818181819
Epoch 270 :  test_rel rank 1.1820645479182064
Epoch 275 :  test_rel rank 1.1820645479182064
Epoch 280 :  test_rel rank 1.1818181818181819
Epoch 285 :  test_rel rank 1.1825572801182558
Epoch 290 :  test_rel rank 1.1835427445183542
Epoch 295 :  test_rel rank 1.183050012318305
Epoch 300 :  test_rel rank 1.1835427445183542
Epoch 305 :  test_rel rank 1.1832963784183297
Epoch 310 :  test_rel rank 1.1837891106183789
Epoch 315 :  test_rel rank 1.1840354767184036
Epoch 320 :  test_rel rank 1.1837891106183789
Epoch 325 :  test_rel rank 1.1835427445183542
Epoch 330 :  test_rel rank 1.1840354767184036
Epoch 335 :  test_rel rank 1.1840354767184036
Epoch 340 :  test_rel rank 1.1842818428184283
Epoch 345 :  test_rel rank 1.1837891106183789
Epoch 350 :  test_rel rank 1.1835427445183542
Epoch 355 :  test_rel rank 1.1837891106183789
Epoch 360 :  test_rel rank 1.1832963784183297
Epoch 365 :  test_rel rank 1.1847745750184775
Epoch 370 :  test_rel rank 1.1847745750184775
Epoch 375 :  test_rel rank 1.1845282089184528
Epoch 380 :  test_rel rank 1.1855136733185514
Epoch 385 :  test_rel rank 1.1855136733185514
Epoch 390 :  test_rel rank 1.1867455038186745
Epoch 395 :  test_rel rank 1.1860064055186006
Epoch 400 :  test_rel rank 1.1855136733185514
Epoch 405 :  test_rel rank 1.185020941118502
Epoch 410 :  test_rel rank 1.1855136733185514
Epoch 415 :  test_rel rank 1.185760039418576
Epoch 420 :  test_rel rank 1.185760039418576
Epoch 425 :  test_rel rank 1.1860064055186006
Epoch 430 :  test_rel rank 1.1867455038186745
Epoch 435 :  test_rel rank 1.1867455038186745
Epoch 440 :  test_rel rank 1.1860064055186006
Epoch 445 :  test_rel rank 1.1879773343187978
Epoch 450 :  test_rel rank 1.1874846021187484
Epoch 455 :  test_rel rank 1.1874846021187484
Epoch 460 :  test_rel rank 1.1869918699186992
Epoch 465 :  test_rel rank 1.18649913771865
Epoch 470 :  test_rel rank 1.187238236018724
Epoch 475 :  test_rel rank 1.187730968218773
Epoch 480 :  test_rel rank 1.1882237004188223
Epoch 485 :  test_rel rank 1.1867455038186745
Epoch 490 :  test_rel rank 1.1869918699186992
Epoch 495 :  test_rel rank 1.18649913771865
Epoch 500 :  test_rel rank 1.18649913771865
Epoch 505 :  test_rel rank 1.1862527716186253
Epoch 510 :  test_rel rank 1.1869918699186992
Epoch 515 :  test_rel rank 1.1869918699186992
Epoch 520 :  test_rel rank 1.187238236018724
Epoch 525 :  test_rel rank 1.1874846021187484
Epoch 530 :  test_rel rank 1.1869918699186992
Epoch 535 :  test_rel rank 1.1869918699186992
Epoch 540 :  test_rel rank 1.1869918699186992
Epoch 545 :  test_rel rank 1.1862527716186253
Epoch 550 :  test_rel rank 1.1869918699186992
Epoch 555 :  test_rel rank 1.1869918699186992
Epoch 560 :  test_rel rank 1.1869918699186992
Epoch 565 :  test_rel rank 1.1860064055186006
Epoch 570 :  test_rel rank 1.1867455038186745
Epoch 575 :  test_rel rank 1.18649913771865
Epoch 580 :  test_rel rank 1.18649913771865
Epoch 585 :  test_rel rank 1.1867455038186745
Epoch 590 :  test_rel rank 1.18649913771865
Epoch 595 :  test_rel rank 1.1862527716186253
Epoch 600 :  test_rel rank 1.1869918699186992
Epoch 605 :  test_rel rank 1.187730968218773
Epoch 610 :  test_rel rank 1.1869918699186992
Epoch 615 :  test_rel rank 1.1867455038186745
Epoch 620 :  test_rel rank 1.1862527716186253
Epoch 625 :  test_rel rank 1.1867455038186745
Epoch 630 :  test_rel rank 1.1862527716186253
Epoch 635 :  test_rel rank 1.185760039418576
Epoch 640 :  test_rel rank 1.1855136733185514
Epoch 645 :  test_rel rank 1.185760039418576
Epoch 650 :  test_rel rank 1.185760039418576
Epoch 655 :  test_rel rank 1.1862527716186253
Epoch 660 :  test_rel rank 1.1869918699186992
Epoch 665 :  test_rel rank 1.1860064055186006
Epoch 670 :  test_rel rank 1.1862527716186253
Epoch 675 :  test_rel rank 1.1862527716186253
Epoch 680 :  test_rel rank 1.18649913771865
Epoch 685 :  test_rel rank 1.18649913771865
Epoch 690 :  test_rel rank 1.18649913771865
Epoch 695 :  test_rel rank 1.18649913771865
Epoch 700 :  test_rel rank 1.18649913771865
Epoch 705 :  test_rel rank 1.18649913771865
Epoch 710 :  test_rel rank 1.18649913771865
Epoch 715 :  test_rel rank 1.18649913771865
Epoch 720 :  test_rel rank 1.18649913771865
Epoch 725 :  test_rel rank 1.18649913771865
Epoch 730 :  test_rel rank 1.18649913771865
Epoch 735 :  test_rel rank 1.18649913771865
Epoch 740 :  test_rel rank 1.18649913771865
Epoch 745 :  test_rel rank 1.18649913771865
Epoch 750 :  test_rel rank 1.18649913771865
Epoch 755 :  test_rel rank 1.18649913771865
Epoch 760 :  test_rel rank 1.18649913771865
Epoch 765 :  test_rel rank 1.18649913771865
Epoch 770 :  test_rel rank 1.18649913771865
Epoch 775 :  test_rel rank 1.18649913771865
Epoch 780 :  test_rel rank 1.18649913771865
Epoch 785 :  test_rel rank 1.18649913771865
Epoch 790 :  test_rel rank 1.18649913771865
Epoch 795 :  test_rel rank 1.18649913771865
Epoch 800 :  test_rel rank 1.18649913771865
Epoch 805 :  test_rel rank 1.18649913771865
Epoch 810 :  test_rel rank 1.18649913771865
Epoch 815 :  test_rel rank 1.18649913771865
Epoch 820 :  test_rel rank 1.18649913771865
Epoch 825 :  test_rel rank 1.18649913771865
Epoch 830 :  test_rel rank 1.18649913771865
Epoch 835 :  test_rel rank 1.18649913771865
Epoch 840 :  test_rel rank 1.18649913771865
Epoch 845 :  test_rel rank 1.18649913771865
Epoch 850 :  test_rel rank 1.18649913771865
Epoch 855 :  test_rel rank 1.18649913771865
Epoch 860 :  test_rel rank 1.18649913771865
Epoch 865 :  test_rel rank 1.18649913771865
Epoch 870 :  test_rel rank 1.18649913771865
Epoch 875 :  test_rel rank 1.18649913771865
Epoch 880 :  test_rel rank 1.18649913771865
