lit_comb_classes_yago_data_model
Epoch 5 :  test_rel rank 2.56
Epoch 10 :  test_rel rank 2.4452
Epoch 15 :  test_rel rank 2.4856
Epoch 20 :  test_rel rank 2.5036
Epoch 25 :  test_rel rank 2.4776
Epoch 30 :  test_rel rank 2.4522
Epoch 35 :  test_rel rank 2.4699999999999998
Epoch 40 :  test_rel rank 2.5061999999999998
Epoch 45 :  test_rel rank 2.5187999999999997
Epoch 50 :  test_rel rank 2.5068
Epoch 55 :  test_rel rank 2.4618
Epoch 60 :  test_rel rank 2.4442
Epoch 65 :  test_rel rank 2.3979999999999997
Epoch 70 :  test_rel rank 2.3514
Epoch 75 :  test_rel rank 2.2788
Epoch 80 :  test_rel rank 2.223
Epoch 85 :  test_rel rank 2.1698
Epoch 90 :  test_rel rank 2.1352
Epoch 95 :  test_rel rank 2.1042
Epoch 100 :  test_rel rank 2.0460000000000003
Epoch 105 :  test_rel rank 1.9552
Epoch 110 :  test_rel rank 1.9285999999999999
Epoch 115 :  test_rel rank 1.9180000000000001
Epoch 120 :  test_rel rank 1.9104
Epoch 125 :  test_rel rank 1.9038
Epoch 130 :  test_rel rank 1.8963999999999999
Epoch 135 :  test_rel rank 1.8944
Epoch 140 :  test_rel rank 1.8925999999999998
Epoch 145 :  test_rel rank 1.8866
Epoch 150 :  test_rel rank 1.8848
Epoch 155 :  test_rel rank 1.8798
Epoch 160 :  test_rel rank 1.8756
Epoch 165 :  test_rel rank 1.8698000000000001
Epoch 170 :  test_rel rank 1.8683999999999998
Epoch 175 :  test_rel rank 1.862
Epoch 180 :  test_rel rank 1.8558
Epoch 185 :  test_rel rank 1.8508
Epoch 190 :  test_rel rank 1.8488
Epoch 195 :  test_rel rank 1.8454000000000002
Epoch 200 :  test_rel rank 1.8397999999999999
Epoch 205 :  test_rel rank 1.8394
Epoch 210 :  test_rel rank 1.839
Epoch 215 :  test_rel rank 1.8372000000000002
Epoch 220 :  test_rel rank 1.8364
Epoch 225 :  test_rel rank 1.835
Epoch 230 :  test_rel rank 1.8326
Epoch 235 :  test_rel rank 1.8344
Epoch 240 :  test_rel rank 1.8334000000000001
Epoch 245 :  test_rel rank 1.8344
Epoch 250 :  test_rel rank 1.8342
Epoch 255 :  test_rel rank 1.8344
Epoch 260 :  test_rel rank 1.8326
