19080	11	27548	1984	1984
25047	10	27548	1917	1917
24949	13	27548	1981	1981
20567	10	27548	1931	1931
23266	10	27547	1874	1874
11020	11	27549	2014	2014
175	3	7818	2010-##-##	####-##-##
4451	7	6545	1899-05-17	1899-05-17
11277	13	27548	1998	1998
4587	4	2043	1956-##-##	2011-##-##
14462	10	27548	1921	1921
14550	11	27548	1993	1993
14994	10	27548	1916	1916
17680	11	27548	1957	1957
3992	3	8115	2006-##-##	####-##-##
3563	2	7298	1996-##-##	2000-##-##
527	7	5121	1943-05-20	1943-05-20
24875	10	27548	1934	1934
11272	11	27548	1937	1937
673	8	8861	1998-##-##	2001-##-##
20688	10	27547	1850	1850
14655	12	27548	1991	1991
26320	10	27548	1900	1900
3813	2	7602	2011-##-##	2014-##-##
22310	10	27548	1935	1935
20320	11	27548	1946	1946
20672	10	27547	1848	1848
16484	10	27547	1895	1895
21132	11	27549	2008	2008
11236	10	27548	1986	1986
3945	3	7897	2009-##-##	2016-##-##
11503	10	27546	1789	1789
16165	12	27540	1161	1161
16924	11	27548	1968	1968
538	0	6733	1965-05-01	1965-05-01
652	6	7001	1963-##-##	####-##-##
4150	11	27548	1997	1997
18234	11	27549	2008	2008
5963	9	9699	1937-##-##	1988-##-##
894	3	7823	1992-##-##	####-##-##
21562	10	27548	1920	1920
25010	12	27549	2007	2007
17702	10	27548	1930	1930
1460	1	7167	1961-##-##	####-##-##
3746	2	7226	2005-##-##	####-##-##
16826	10	27539	1025	1025
26480	10	27548	1909	1909
459	4	3311	1978-##-##	2009-##-##
11273	11	27548	1994	1994
4208	3	7870	1977-##-##	####-##-##
17896	11	27549	2015	2015
656	0	6727	1923-03-19	1923-03-19
4258	11	27549	2009	2009
12359	10	27548	1912	1912
18648	12	27548	1911	1911
16426	11	27548	1910	1910
18742	11	27548	1969	1969
17309	11	27548	1984	1984
15062	10	27548	1900	1900
19667	11	27548	1955	1955
3651	2	7448	2016-##-##	####-##-##
3038	3	7958	1975-##-##	####-##-##
15339	12	27549	2013	2013
13867	11	27549	2015	2015
24488	11	27544	1510	1510
25267	10	27548	1914	1914
24707	10	27548	1922	1922
12424	10	27548	1947	1947
23298	11	27548	1993	1993
23415	10	27548	1922	1922
11248	11	27548	1990	1990
16875	10	27548	1900	1900
12066	11	27548	1992	1992
205	0	6578	1911-06-13	1911-06-13
13677	10	27548	1906	1906
2979	7	8750	1950-07-21	1950-07-21
4718	5	8225	1966-##-##	1988-##-##
18784	10	27547	1893	1893
22849	10	27548	1936	1936
17590	10	27548	1915	1915
25948	11	27548	1919	1919
17203	11	27543	1411	1411
26201	14	27548	1981	1981
4938	11	27548	1973	1973
22732	12	27542	1368	1368
21	7	8760	2017-03-23	2017-03-23
12584	10	27548	1937	1937
24233	13	27548	1994	1994
22664	11	27549	2017	2017
196	4	1963	1962-##-##	####-##-##
1255	3	7807	1986-##-##	####-##-##
15507	11	27549	2002	2002
1688	0	6846	1863-08-08	1863-08-08
688	8	8814	1980-##-##	1986-##-##
20159	12	27548	1920	1920
15628	10	27547	1876	1876
5211	6	8721	1973-##-##	####-##-##
4522	4	4506	1954-##-##	1989-##-##
15617	13	27548	1983	1983
1837	0	6535	1941-07-12	1941-07-12
12778	11	27549	2003	2003
18164	10	27548	1920	1920
5271	8	8830	1917-##-##	1924-##-##
25270	10	27548	1919	1919
62	2	7265	2014-##-##	2015-##-##
23992	11	27548	1989	1989
11860	11	27549	2005	2005
22307	13	27548	1984	1984
5006	5	8528	100-##-##	####-##-##
2788	7	6557	2017-05-15	2017-05-15
16757	11	27549	2013	2013
289	2	7615	1998-##-##	1999-##-##
11562	11	27548	1979	1979
2681	0	6570	1922-10-27	1922-10-27
10700	13	27548	1975	1975
20557	11	27549	2008	2008
1235	2	7725	2014-##-##	2015-##-##
23684	11	27548	1957	1957
16890	10	27548	1983	1983
1630	2	7453	1989-##-##	1990-##-##
559	0	6739	1868-03-08	1868-03-08
14046	10	27548	1911	1911
19228	11	27548	1961	1961
19728	11	27549	2007	2007
2483	10	27548	1907	1907
27256	10	27548	1926	1926
21480	10	27547	1811	1811
21311	14	27548	1915	1915
22101	10	27547	1889	1889
13919	11	27548	1986	1986
24086	12	27548	1976	1976
27499	11	27547	1888	1888
4162	3	7817	2000-##-##	####-##-##
12808	11	27549	2010	2010
11181	11	27548	1951	1951
15971	10	27548	1954	1954
25784	11	27548	1993	1993
27004	10	27548	1930	1930
3798	2	7290	2011-##-##	####-##-##
13828	10	27548	1914	1914
1313	3	7936	1966-##-##	####-##-##
13493	11	27549	2014	2014
14841	10	27548	1902	1902
21087	10	27548	1919	1919
528	10	27548	1908	1908
24721	13	27549	2012	2012
3935	3	7866	1996-##-##	2008-##-##
12459	12	27548	1973	1973
4164	3	8062	2003-##-##	####-##-##
13992	11	27548	1963	1963
4780	5	8284	100-##-##	####-##-##
13664	11	27548	1973	1973
19657	12	27549	2004	2004
1591	4	4350	1953-##-##	1964-##-##
15365	12	27547	1867	1867
20761	13	27549	2000	2000
25716	13	27548	1996	1996
3948	3	7909	1961-##-##	####-##-##
20737	11	27545	1640	1640
2832	4	1091	1985-##-##	1998-##-##
24127	10	27548	1938	1938
3774	2	7236	2002-##-##	####-##-##
324	0	6629	1981-05-01	1981-05-01
11	0	6508	1929-08-06	1929-08-06
26830	10	27543	1457	1457
19269	10	27548	1920	1920
2984	0	6511	1951-09-18	1951-09-18
3717	2	7261	1989-##-##	1991-##-##
3145	2	7445	2001-##-##	2002-##-##
508	0	6602	1964-08-26	1964-08-26
25324	10	27546	1706	1706
11719	11	27548	1909	1909
3281	0	6576	1972-04-02	1972-04-02
149	0	6557	1928-04-07	1928-04-07
22779	10	27542	1355	1355
23553	10	27548	1917	1917
26453	11	27549	2001	2001
3272	0	6557	1906-09-29	1906-09-29
3428	3	7836	1948-##-##	####-##-##
875	2	7493	1999-##-##	####-##-##
20470	11	27549	2015	2015
1946	0	6520	1954-10-10	1954-10-10
13028	10	27547	1826	1826
23263	11	27548	1997	1997
5418	8	8891	1997-##-##	2002-##-##
21088	10	27548	1932	1932
10688	11	27541	1235	1235
14986	10	27548	1922	1922
3376	1	7015	1913-##-##	####-##-##
3669	2	7560	2009-##-##	2010-##-##
4030	3	8028	1946-##-##	####-##-##
6032	9	9803	1897-##-##	####-##-##
18677	10	27547	1869	1869
1587	3	7968	2012-##-##	####-##-##
1535	0	6847	1957-03-29	1957-03-29
23145	11	27546	1785	1785
19237	11	27549	2003	2003
23051	11	27548	1966	1966
4048	3	8048	1963-##-##	####-##-##
3589	2	7213	2007-##-##	2011-##-##
20895	10	27548	1904	1904
27093	12	27548	1978	1978
13450	10	27546	1794	1794
19013	11	27547	1847	1847
16393	10	27544	1578	1578
14573	10	27548	1905	1905
4534	4	3051	1929-##-##	1938-##-##
26063	11	27548	1980	1980
13819	10	27547	1898	1898
3577	2	7415	2001-##-##	2002-##-##
20763	10	27547	1895	1895
3667	2	7266	2004-##-##	2005-##-##
14727	11	27549	2007	2007
18194	11	27543	1466	1466
3766	2	7459	2002-##-##	####-##-##
1457	6	6962	1937-##-##	####-##-##
324	2	7502	2000-##-##	2003-##-##
4076	3	7826	1990-##-##	####-##-##
15074	11	27548	1932	1932
12993	10	27548	1918	1918
325	1	7032	1994-##-##	2012-##-##
25227	11	27549	2004	2004
10844	10	27548	1904	1904
18727	10	27548	1902	1902
2361	4	1804	1967-##-##	####-##-##
21673	10	27548	1982	1982
27243	10	27547	1890	1890
5874	9	9563	2016-##-##	####-##-##
20438	11	27548	1986	1986
10803	10	27547	1851	1851
2083	2	7386	1969-##-##	1977-##-##
3896	3	8102	1999-##-##	####-##-##
5287	9	9423	1953-##-##	####-##-##
14096	11	27548	1995	1995
11504	10	27548	1903	1903
21313	11	27549	2005	2005
626	3	7913	2008-##-##	####-##-##
4499	4	4594	1978-##-##	1980-##-##
11841	13	27549	2011	2011
20943	11	27549	2010	2010
1170	4	2859	1987-##-##	2007-##-##
14109	11	27548	1993	1993
15015	11	27548	1993	1993
803	12	27548	1995	1995
3326	7	6536	1983-10-31	1983-10-31
17602	10	27547	1887	1887
2186	2	7757	2009-##-##	####-##-##
11246	10	27548	1912	1912
14164	11	27549	2015	2015
20436	11	27549	2010	2010
17068	11	27547	1848	1848
3240	2	7535	2000-##-##	####-##-##
20990	10	27548	1979	1979
3969	3	7817	1990-##-##	####-##-##
17108	11	27549	2010	2010
21023	10	27548	1919	1919
14666	12	27549	2008	2008
3559	2	7264	2015-##-##	2016-##-##
25837	10	27548	1924	1924
