yago_type1_lit_data_model
Epoch 5 :  test_rel rank 2.3354285714285714
Epoch 10 :  test_rel rank 2.3105714285714285
Epoch 15 :  test_rel rank 2.313428571428571
Epoch 20 :  test_rel rank 2.314285714285714
Epoch 25 :  test_rel rank 2.3245714285714287
Epoch 30 :  test_rel rank 2.3522857142857143
Epoch 35 :  test_rel rank 2.3665714285714285
Epoch 40 :  test_rel rank 2.3845714285714283
Epoch 45 :  test_rel rank 2.388
Epoch 50 :  test_rel rank 2.388857142857143
Epoch 55 :  test_rel rank 2.3934285714285712
Epoch 60 :  test_rel rank 2.3914285714285715
Epoch 65 :  test_rel rank 2.3971428571428572
Epoch 70 :  test_rel rank 2.3991428571428575
Epoch 75 :  test_rel rank 2.3997142857142855
Epoch 80 :  test_rel rank 2.3997142857142855
Epoch 85 :  test_rel rank 2.4025714285714286
Epoch 90 :  test_rel rank 2.4077142857142855
Epoch 95 :  test_rel rank 2.419714285714286
Epoch 100 :  test_rel rank 2.431142857142857
Epoch 105 :  test_rel rank 2.4477142857142855
Epoch 110 :  test_rel rank 2.459714285714286
Epoch 115 :  test_rel rank 2.4777142857142858
Epoch 120 :  test_rel rank 2.4939999999999998
Epoch 125 :  test_rel rank 2.5122857142857145
Epoch 130 :  test_rel rank 2.525142857142857
Epoch 135 :  test_rel rank 2.5485714285714285
Epoch 140 :  test_rel rank 2.5748571428571427
Epoch 145 :  test_rel rank 2.5994285714285716
Epoch 150 :  test_rel rank 2.613142857142857
Epoch 155 :  test_rel rank 2.642
Epoch 160 :  test_rel rank 2.671142857142857
Epoch 165 :  test_rel rank 2.700285714285714
Epoch 170 :  test_rel rank 2.725714285714286
Epoch 175 :  test_rel rank 2.7545714285714284
Epoch 180 :  test_rel rank 2.778857142857143
Epoch 185 :  test_rel rank 2.801142857142857
Epoch 190 :  test_rel rank 2.8245714285714287
Epoch 195 :  test_rel rank 2.8508571428571425
Epoch 200 :  test_rel rank 2.8688571428571428
Epoch 205 :  test_rel rank 2.888
Epoch 210 :  test_rel rank 2.8977142857142857
Epoch 215 :  test_rel rank 2.913142857142857
Epoch 220 :  test_rel rank 2.927142857142857
Epoch 225 :  test_rel rank 2.94
Epoch 230 :  test_rel rank 2.952285714285714
Epoch 235 :  test_rel rank 2.9625714285714286
Epoch 240 :  test_rel rank 2.9717142857142855
Epoch 245 :  test_rel rank 2.9805714285714284
Epoch 250 :  test_rel rank 2.99
Epoch 255 :  test_rel rank 2.9971428571428573
Epoch 260 :  test_rel rank 3.0068571428571427
Epoch 265 :  test_rel rank 3.0142857142857142
Epoch 270 :  test_rel rank 3.022
Epoch 275 :  test_rel rank 3.026
Epoch 280 :  test_rel rank 3.0322857142857145
Epoch 285 :  test_rel rank 3.034
Epoch 290 :  test_rel rank 3.0362857142857145
Epoch 295 :  test_rel rank 3.0414285714285714
Epoch 300 :  test_rel rank 3.0454285714285714
Epoch 305 :  test_rel rank 3.0485714285714285
Epoch 310 :  test_rel rank 3.0477142857142856
Epoch 315 :  test_rel rank 3.051142857142857
Epoch 320 :  test_rel rank 3.0554285714285716
Epoch 325 :  test_rel rank 3.059142857142857
Epoch 330 :  test_rel rank 3.06
Epoch 335 :  test_rel rank 3.061142857142857
Epoch 340 :  test_rel rank 3.0654285714285714
Epoch 345 :  test_rel rank 3.0668571428571427
Epoch 350 :  test_rel rank 3.0674285714285716
Epoch 355 :  test_rel rank 3.07
Epoch 360 :  test_rel rank 3.073142857142857
Epoch 365 :  test_rel rank 3.072
Epoch 370 :  test_rel rank 3.0725714285714285
Epoch 375 :  test_rel rank 3.0714285714285716
Epoch 380 :  test_rel rank 3.0748571428571427
Epoch 385 :  test_rel rank 3.0745714285714287
Epoch 390 :  test_rel rank 3.0717142857142856
Epoch 395 :  test_rel rank 3.0748571428571427
Epoch 400 :  test_rel rank 3.072857142857143
Epoch 405 :  test_rel rank 3.072285714285714
Epoch 410 :  test_rel rank 3.0765714285714285
Epoch 415 :  test_rel rank 3.073714285714286
Epoch 420 :  test_rel rank 3.072285714285714
Epoch 425 :  test_rel rank 3.071142857142857
Epoch 430 :  test_rel rank 3.0705714285714287
Epoch 435 :  test_rel rank 3.072
Epoch 440 :  test_rel rank 3.0705714285714287
Epoch 445 :  test_rel rank 3.07
Epoch 450 :  test_rel rank 3.068857142857143
Epoch 455 :  test_rel rank 3.0702857142857143
Epoch 460 :  test_rel rank 3.07
Epoch 465 :  test_rel rank 3.0708571428571427
Epoch 470 :  test_rel rank 3.069142857142857
Epoch 475 :  test_rel rank 3.0708571428571427
Epoch 480 :  test_rel rank 3.0734285714285714
Epoch 485 :  test_rel rank 3.0742857142857143
Epoch 490 :  test_rel rank 3.0757142857142856
Epoch 495 :  test_rel rank 3.0754285714285716
Epoch 500 :  test_rel rank 3.074
Epoch 505 :  test_rel rank 3.0742857142857143
Epoch 510 :  test_rel rank 3.0705714285714287
Epoch 515 :  test_rel rank 3.0674285714285716
Epoch 520 :  test_rel rank 3.0645714285714285
Epoch 525 :  test_rel rank 3.065142857142857
Epoch 530 :  test_rel rank 3.064857142857143
Epoch 535 :  test_rel rank 3.062
Epoch 540 :  test_rel rank 3.0634285714285716
Epoch 545 :  test_rel rank 3.0662857142857143
Epoch 550 :  test_rel rank 3.068857142857143
Epoch 555 :  test_rel rank 3.0674285714285716
Epoch 560 :  test_rel rank 3.0662857142857143
Epoch 565 :  test_rel rank 3.0654285714285714
Epoch 570 :  test_rel rank 3.0645714285714285
Epoch 575 :  test_rel rank 3.0628571428571427
Epoch 580 :  test_rel rank 3.0597142857142856
Epoch 585 :  test_rel rank 3.0585714285714287
Epoch 590 :  test_rel rank 3.058
Epoch 595 :  test_rel rank 3.0554285714285716
Epoch 600 :  test_rel rank 3.052857142857143
Epoch 605 :  test_rel rank 3.049714285714286
Epoch 610 :  test_rel rank 3.048857142857143
Epoch 615 :  test_rel rank 3.047142857142857
Epoch 620 :  test_rel rank 3.0454285714285714
Epoch 625 :  test_rel rank 3.044857142857143
Epoch 630 :  test_rel rank 3.0422857142857143
Epoch 635 :  test_rel rank 3.0405714285714285
Epoch 640 :  test_rel rank 3.037714285714286
Epoch 645 :  test_rel rank 3.038
Epoch 650 :  test_rel rank 3.038
Epoch 655 :  test_rel rank 3.0405714285714285
Epoch 660 :  test_rel rank 3.038
Epoch 665 :  test_rel rank 3.0362857142857145
Epoch 670 :  test_rel rank 3.0334285714285714
Epoch 675 :  test_rel rank 3.0317142857142856
Epoch 680 :  test_rel rank 3.03
Epoch 685 :  test_rel rank 3.028
Epoch 690 :  test_rel rank 3.0254285714285714
Epoch 695 :  test_rel rank 3.024
Epoch 700 :  test_rel rank 3.0228571428571427
Epoch 705 :  test_rel rank 3.0214285714285714
Epoch 710 :  test_rel rank 3.0162857142857145
Epoch 715 :  test_rel rank 3.0145714285714287
Epoch 720 :  test_rel rank 3.0134285714285713
Epoch 725 :  test_rel rank 3.0122857142857145
Epoch 730 :  test_rel rank 3.011142857142857
Epoch 735 :  test_rel rank 3.0085714285714285
Epoch 740 :  test_rel rank 3.0082857142857145
Epoch 745 :  test_rel rank 3.0054285714285713
Epoch 750 :  test_rel rank 3.004857142857143
Epoch 755 :  test_rel rank 3.0042857142857144
Epoch 760 :  test_rel rank 3.004
Epoch 765 :  test_rel rank 3.0028571428571427
Epoch 770 :  test_rel rank 3.0028571428571427
Epoch 775 :  test_rel rank 3.003142857142857
Epoch 780 :  test_rel rank 3.001714285714286
Epoch 785 :  test_rel rank 3.0002857142857144
Epoch 790 :  test_rel rank 2.999428571428571
Epoch 795 :  test_rel rank 3.0
Epoch 800 :  test_rel rank 2.998
Epoch 805 :  test_rel rank 2.9974285714285713
Epoch 810 :  test_rel rank 2.995142857142857
Epoch 815 :  test_rel rank 2.995142857142857
Epoch 820 :  test_rel rank 2.9937142857142858
Epoch 825 :  test_rel rank 2.9939999999999998
Epoch 830 :  test_rel rank 2.9939999999999998
Epoch 835 :  test_rel rank 2.9948571428571427
Epoch 840 :  test_rel rank 2.993142857142857
Epoch 845 :  test_rel rank 2.992571428571429
Epoch 850 :  test_rel rank 2.991714285714286
Epoch 855 :  test_rel rank 2.991142857142857
Epoch 860 :  test_rel rank 2.9905714285714287
Epoch 865 :  test_rel rank 2.9894285714285713
Epoch 870 :  test_rel rank 2.9891428571428573
Epoch 875 :  test_rel rank 2.9885714285714284
Epoch 880 :  test_rel rank 2.9877142857142855
Epoch 885 :  test_rel rank 2.9877142857142855
Epoch 890 :  test_rel rank 2.987142857142857
Epoch 895 :  test_rel rank 2.986285714285714
Epoch 900 :  test_rel rank 2.9865714285714287
Epoch 905 :  test_rel rank 2.9854285714285713
Epoch 910 :  test_rel rank 2.984857142857143
Epoch 915 :  test_rel rank 2.983714285714286
Epoch 920 :  test_rel rank 2.984857142857143
Epoch 925 :  test_rel rank 2.9859999999999998
Epoch 930 :  test_rel rank 2.984285714285714
Epoch 935 :  test_rel rank 2.984857142857143
Epoch 940 :  test_rel rank 2.984571428571429
Epoch 945 :  test_rel rank 2.983714285714286
Epoch 950 :  test_rel rank 2.9811428571428573
Epoch 955 :  test_rel rank 2.9805714285714284
Epoch 960 :  test_rel rank 2.9817142857142858
Epoch 965 :  test_rel rank 2.9797142857142855
Epoch 970 :  test_rel rank 2.9779999999999998
Epoch 975 :  test_rel rank 2.978285714285714
Epoch 980 :  test_rel rank 2.9779999999999998
Epoch 985 :  test_rel rank 2.978285714285714
Epoch 990 :  test_rel rank 2.9785714285714286
Epoch 995 :  test_rel rank 2.9777142857142858
Epoch 1000 :  test_rel rank 2.976857142857143
Epoch 1005 :  test_rel rank 2.9774285714285718
Epoch 1010 :  test_rel rank 2.977142857142857
Epoch 1015 :  test_rel rank 2.977142857142857
Epoch 1020 :  test_rel rank 2.9788571428571426
Epoch 1025 :  test_rel rank 2.9785714285714286
Epoch 1030 :  test_rel rank 2.978285714285714
Epoch 1035 :  test_rel rank 2.9788571428571426
Epoch 1040 :  test_rel rank 2.9774285714285718
Epoch 1045 :  test_rel rank 2.9777142857142858
Epoch 1050 :  test_rel rank 2.976571428571429
Epoch 1055 :  test_rel rank 2.978285714285714
Epoch 1060 :  test_rel rank 2.977142857142857
Epoch 1065 :  test_rel rank 2.976857142857143
Epoch 1070 :  test_rel rank 2.976571428571429
Epoch 1075 :  test_rel rank 2.976285714285714
